token	lexeme
--------------
#include	Preprocessor Directive
<	operator
stdio	identifier
.	operator
h	identifier
>	operator
int	keyword
main	keyword
(	special symbol
)	special symbol
{	special symbol
int	keyword
num1	identifier
=	operator
5	digit
,	special symbol
num2	identifier
=	operator
10	digit
;	special symbol
int	keyword
sum	identifier
=	operator
num1	identifier
+	operator
num2	identifier
;	special symbol
printf	identifier
(	special symbol
"sum = %d\n"	string
,	special symbol
sum	identifier
)	special symbol
;	special symbol
return	keyword
0	digit
;	special symbol
}	special symbol
